class,precision,recall,f1,support,auroc,auprc,experiment
Q,0.9354838709677419,0.024166666666666666,0.047116165718927704,1200,0.7031516587677725,0.41876197325195996,LSTM
N,0.0,0.0,0.0,1200,0.5187065560821484,0.2732769558369016,GRU
S,0.5756578947368421,0.9686346863468634,0.7221458046767538,542,0.9877964186618611,0.9582008490594177,GRU
V,0.34137175070466647,0.9083333333333333,0.49624402458456635,1200,0.7158206386820131,0.6290811119737908,GRU
F,0.0,0.0,0.0,12,0.668477386125865,0.02812862642653675,GRU
Q,1.0,0.035,0.06763285024154589,1200,0.8076354096140826,0.6267508498711631,GRU
N,0.0,0.0,0.0,1200,0.48250366734371475,0.2704792801298821,BiLSTM
S,0.5428265524625268,0.9354243542435424,0.6869918699186992,542,0.9812188155104142,0.9363160379971461,BiLSTM
V,0.30427738172391444,0.7825,0.4381707886140924,1200,0.6648723482283909,0.5139530736265522,BiLSTM
F,0.0,0.0,0.0,12,0.6365081281184612,0.009620795447945207,BiLSTM
Q,0.2125984251968504,0.0225,0.04069329314242653,1200,0.6533573121191604,0.3684529736102149,BiLSTM
N,0.0,0.0,0.0,1200,0.6269214060031595,0.3271664671889572,BiLSTM_Attention
S,0.7343065693430657,0.9280442804428044,0.8198859005704972,542,0.9876825097154627,0.9559205832554842,BiLSTM_Attention
V,0.343849493487699,0.99,0.5104189044038668,1200,0.8714457797336944,0.644660836671877,BiLSTM_Attention
F,0.0,0.0,0.0,12,0.6015612425559311,0.011147872978222497,BiLSTM_Attention
Q,1.0,0.0075,0.01488833746898263,1200,0.8891093996840443,0.7964658352473426,BiLSTM_Attention
N,0.0,0.0,0.0,1200,0.565049085985105,0.29789354564739695,CNN_BiLSTM_Attention
S,0.23595505617977527,0.8911439114391144,0.373117033603708,542,0.7616013452493329,0.23137055707461,CNN_BiLSTM_Attention
V,0.6193656093489148,0.6183333333333333,0.6188490408673895,1200,0.9000725005642068,0.684742975067868,CNN_BiLSTM_Attention
F,0.0,0.0,0.0,12,0.6371318203766296,0.004040091648459114,CNN_BiLSTM_Attention
Q,0.6666666666666666,0.0016666666666666668,0.0033250207813798837,1200,0.6724015459264274,0.3765856104000864,CNN_BiLSTM_Attention
N,0.0,0.0,0.0,1200,0.7113103701196118,0.3964401844765426,hierarchical_N_vs_nonN
S,0.7932148626817448,0.9059040590405905,0.8458225667527993,542,0.9817423880218868,0.9429413081880494,hierarchical_N_vs_nonN
V,0.3951612903225806,0.6125,0.4803921568627451,1200,0.7193322613405553,0.6632722484840949,hierarchical_N_vs_nonN
F,0.007371007371007371,0.25,0.014319809069212411,12,0.599187188153871,0.004545964179374769,hierarchical_N_vs_nonN
Q,0.6238170347003155,0.6591666666666667,0.6410048622366289,1200,0.8610976641841571,0.6711933338689545,hierarchical_N_vs_nonN
